Time,Voltage_0 (Collected),Voltage_1 (Collected),Temperature_0 (Collected)
2/7/2024 17:33:27.202,1.139109,4.058446,63.543977
2/7/2024 17:33:27.203,1.13624,4.061292,63.543977
2/7/2024 17:33:27.204,1.137515,4.061608,63.543977
2/7/2024 17:33:27.205,1.135922,4.061924,63.543977
2/7/2024 17:33:27.206,1.134328,4.061292,63.543977
2/7/2024 17:33:27.207,1.137515,4.061608,63.543977
2/7/2024 17:33:27.208,1.135922,4.061924,63.543977
2/7/2024 17:33:27.209,1.135284,4.061608,63.543977
2/7/2024 17:33:27.210,1.135922,4.061292,63.543977
2/7/2024 17:33:27.211,1.13624,4.060976,63.543977
2/7/2024 17:33:27.212,1.13624,4.060976,63.543977
2/7/2024 17:33:27.213,1.136559,4.061292,63.543977
2/7/2024 17:33:27.214,1.134328,4.061608,63.543977
2/7/2024 17:33:27.215,1.13624,4.061292,63.543977
2/7/2024 17:33:27.216,1.134647,4.061924,63.543977
2/7/2024 17:33:27.217,1.137197,4.060976,63.543977
2/7/2024 17:33:27.218,1.128591,4.061608,63.543977
2/7/2024 17:33:27.219,1.135922,4.061608,63.543977
2/7/2024 17:33:27.220,1.135284,4.061608,63.543977
2/7/2024 17:33:27.221,1.13624,4.061292,63.543977
2/7/2024 17:33:27.222,1.136559,4.060976,63.543977
2/7/2024 17:33:27.223,1.135922,4.060343,63.543977
2/7/2024 17:33:27.224,1.13624,4.060976,63.543977
2/7/2024 17:33:27.225,1.136559,4.060976,63.543977
2/7/2024 17:33:27.226,1.136559,4.061292,63.543977
2/7/2024 17:33:27.227,1.137834,4.061292,63.543977
2/7/2024 17:33:27.228,1.136559,4.061924,63.543977
2/7/2024 17:33:27.229,1.135922,4.061292,63.543977
2/7/2024 17:33:27.230,1.13624,4.061608,63.543977
2/7/2024 17:33:27.231,1.134965,4.061292,63.543977
2/7/2024 17:33:27.232,1.135922,4.060976,63.543977
2/7/2024 17:33:27.233,1.136559,4.060343,63.543977
2/7/2024 17:33:27.234,1.136878,4.061292,63.543977
2/7/2024 17:33:27.235,1.13624,4.061608,63.543977
2/7/2024 17:33:27.236,1.136878,4.06224,63.543977
2/7/2024 17:33:27.237,1.136878,4.062557,63.543977
2/7/2024 17:33:27.238,1.135603,4.061608,63.543977
2/7/2024 17:33:27.239,1.135603,4.060976,63.543977
2/7/2024 17:33:27.240,1.135603,4.061924,63.543977
2/7/2024 17:33:27.241,1.136559,4.061608,63.543977
2/7/2024 17:33:27.242,1.135922,4.060976,63.543977
2/7/2024 17:33:27.243,1.135922,4.061608,63.543977
2/7/2024 17:33:27.244,1.136559,4.060976,63.543977
2/7/2024 17:33:27.245,1.135922,4.061292,63.543977
2/7/2024 17:33:27.246,1.13624,4.06224,63.543977
2/7/2024 17:33:27.247,1.13624,4.061608,63.543977
2/7/2024 17:33:27.248,1.137197,4.061924,63.543977
2/7/2024 17:33:27.249,1.135284,4.06224,63.543977
2/7/2024 17:33:27.250,1.135922,4.061608,63.543977
2/7/2024 17:33:27.251,1.136559,4.060976,63.543977
2/7/2024 17:33:27.252,1.13624,4.061292,63.543977
2/7/2024 17:33:27.253,1.135922,4.060343,63.543977
2/7/2024 17:33:27.254,1.135284,4.060659,63.543977
2/7/2024 17:33:27.255,1.136878,4.061608,63.543977
2/7/2024 17:33:27.256,1.137834,4.061292,63.543977
2/7/2024 17:33:27.257,1.135284,4.061292,63.543977
2/7/2024 17:33:27.258,1.136878,4.061292,63.543977
2/7/2024 17:33:27.259,1.136878,4.061608,63.543977
2/7/2024 17:33:27.260,1.137197,4.06224,63.543977
2/7/2024 17:33:27.261,1.13624,4.060976,63.543977
2/7/2024 17:33:27.262,1.13624,4.060976,63.543977
2/7/2024 17:33:27.263,1.135922,4.060976,63.543977
2/7/2024 17:33:27.264,1.134009,4.060976,63.543977
2/7/2024 17:33:27.265,1.134647,4.061608,63.543977
2/7/2024 17:33:27.266,1.136559,4.061292,63.543977
2/7/2024 17:33:27.267,1.137197,4.061608,63.543977
2/7/2024 17:33:27.268,1.136559,4.061924,63.543977
2/7/2024 17:33:27.269,1.135922,4.061292,63.543977
2/7/2024 17:33:27.270,1.136559,4.061608,63.543977
2/7/2024 17:33:27.271,1.135922,4.061924,63.543977
2/7/2024 17:33:27.272,1.135284,4.061292,63.543977
2/7/2024 17:33:27.273,1.135603,4.061292,63.543977
2/7/2024 17:33:27.274,1.137197,4.061292,63.543977
2/7/2024 17:33:27.275,1.135284,4.061608,63.543977
2/7/2024 17:33:27.276,1.135922,4.061608,63.543977
2/7/2024 17:33:27.277,1.135603,4.061608,63.543977
2/7/2024 17:33:27.278,1.13624,4.061608,63.543977
2/7/2024 17:33:27.279,1.136559,4.061292,63.543977
2/7/2024 17:33:27.280,1.137515,4.061608,63.543977
2/7/2024 17:33:27.281,1.135922,4.061292,63.543977
2/7/2024 17:33:27.282,1.135922,4.060976,63.543977
2/7/2024 17:33:27.283,1.136559,4.061608,63.543977
2/7/2024 17:33:27.284,1.137197,4.061608,63.543977
2/7/2024 17:33:27.285,1.133053,4.061924,63.543977
2/7/2024 17:33:27.286,1.13624,4.061292,63.543977
2/7/2024 17:33:27.287,1.13624,4.061608,63.543977
2/7/2024 17:33:27.288,1.135603,4.061292,63.543977
2/7/2024 17:33:27.289,1.13624,4.060976,63.543977
2/7/2024 17:33:27.290,1.136559,4.060976,63.543977
2/7/2024 17:33:27.291,1.135922,4.061292,63.543977
2/7/2024 17:33:27.292,1.135922,4.061292,63.543977
2/7/2024 17:33:27.293,1.135603,4.061924,63.543977
2/7/2024 17:33:27.294,1.135922,4.061292,63.543977
2/7/2024 17:33:27.295,1.135603,4.061292,63.543977
2/7/2024 17:33:27.296,1.136559,4.061292,63.543977
2/7/2024 17:33:27.297,1.135603,4.060659,63.543977
2/7/2024 17:33:27.298,1.134965,4.06224,63.543977
2/7/2024 17:33:27.299,1.13624,4.061292,63.543977
2/7/2024 17:33:27.300,1.136878,4.061924,63.543977
2/7/2024 17:33:27.301,1.13624,4.061608,63.543977
2/7/2024 17:33:27.302,1.137197,4.061924,63.543977
2/7/2024 17:33:27.303,1.136559,4.061292,63.543977
2/7/2024 17:33:27.304,1.13624,4.061608,63.543977
2/7/2024 17:33:27.305,1.135284,4.060976,63.543977
2/7/2024 17:33:27.306,1.135922,4.060976,63.543977
2/7/2024 17:33:27.307,1.135284,4.060659,63.543977
2/7/2024 17:33:27.308,1.13624,4.060976,63.543977
2/7/2024 17:33:27.309,1.137197,4.061292,63.543977
2/7/2024 17:33:27.310,1.136559,4.061608,63.543977
2/7/2024 17:33:27.311,1.13624,4.060976,63.543977
2/7/2024 17:33:27.312,1.136559,4.061608,63.543977
2/7/2024 17:33:27.313,1.137197,4.061924,63.543977
2/7/2024 17:33:27.314,1.135284,4.061292,63.543977
2/7/2024 17:33:27.315,1.134328,4.06224,63.543977
2/7/2024 17:33:27.316,1.13624,4.061292,63.543977
2/7/2024 17:33:27.317,1.134965,4.061608,63.543977
2/7/2024 17:33:27.318,1.134647,4.060976,63.543977
2/7/2024 17:33:27.319,1.135922,4.060976,63.543977
2/7/2024 17:33:27.320,1.136878,4.061608,63.543977
2/7/2024 17:33:27.321,1.136559,4.061292,63.543977
2/7/2024 17:33:27.322,1.13624,4.061292,63.543977
2/7/2024 17:33:27.323,1.136559,4.061292,63.543977
2/7/2024 17:33:27.324,1.134965,4.061292,63.543977
2/7/2024 17:33:27.325,1.135603,4.061608,63.543977
2/7/2024 17:33:27.326,1.134009,4.060976,63.543977
2/7/2024 17:33:27.327,1.135603,4.061608,63.543977
2/7/2024 17:33:27.328,1.135603,4.061292,63.543977
2/7/2024 17:33:27.329,1.136559,4.060976,63.543977
2/7/2024 17:33:27.330,1.136559,4.061292,63.543977
2/7/2024 17:33:27.331,1.135922,4.061292,63.543977
2/7/2024 17:33:27.332,1.137515,4.060976,63.543977
2/7/2024 17:33:27.333,1.13624,4.06224,63.543977
2/7/2024 17:33:27.334,1.135284,4.061292,63.543977
2/7/2024 17:33:27.335,1.135284,4.06224,63.543977
2/7/2024 17:33:27.336,1.135922,4.061608,63.543977
2/7/2024 17:33:27.337,1.135922,4.061608,63.543977
2/7/2024 17:33:27.338,1.136559,4.061292,63.543977
2/7/2024 17:33:27.339,1.134009,4.061292,63.543977
2/7/2024 17:33:27.340,1.136559,4.061292,63.543977
2/7/2024 17:33:27.341,1.134647,4.061608,63.543977
2/7/2024 17:33:27.342,1.135603,4.061292,63.556516
2/7/2024 17:33:27.343,1.134647,4.061608,63.556516
2/7/2024 17:33:27.344,1.137515,4.061292,63.556516
2/7/2024 17:33:27.345,1.13624,4.061608,63.556516
2/7/2024 17:33:27.346,1.13624,4.06224,63.556516
2/7/2024 17:33:27.347,1.135603,4.061608,63.556516
2/7/2024 17:33:27.348,1.135603,4.061608,63.556516
2/7/2024 17:33:27.349,1.134647,4.060976,63.556516
2/7/2024 17:33:27.350,1.13624,4.060976,63.556516
2/7/2024 17:33:27.351,1.137197,4.060976,63.556516
2/7/2024 17:33:27.352,1.13624,4.061608,63.556516
2/7/2024 17:33:27.353,1.135922,4.062557,63.556516
2/7/2024 17:33:27.354,1.136878,4.061292,63.556516
2/7/2024 17:33:27.355,1.13624,4.061924,63.556516
2/7/2024 17:33:27.356,1.13624,4.06224,63.556516
2/7/2024 17:33:27.357,1.135284,4.061608,63.556516
2/7/2024 17:33:27.358,1.13624,4.061292,63.556516
2/7/2024 17:33:27.359,1.135922,4.061292,63.556516
2/7/2024 17:33:27.360,1.136878,4.061924,63.556516
2/7/2024 17:33:27.361,1.135603,4.061608,63.556516
2/7/2024 17:33:27.362,1.136878,4.060976,63.556516
2/7/2024 17:33:27.363,1.136559,4.060976,63.556516
2/7/2024 17:33:27.364,1.136559,4.061292,63.556516
2/7/2024 17:33:27.365,1.13624,4.061292,63.556516
2/7/2024 17:33:27.366,1.137197,4.061608,63.556516
2/7/2024 17:33:27.367,1.134965,4.061608,63.556516
2/7/2024 17:33:27.368,1.136559,4.061292,63.556516
2/7/2024 17:33:27.369,1.136559,4.061292,63.556516
2/7/2024 17:33:27.370,1.136559,4.060976,63.556516
2/7/2024 17:33:27.371,1.135284,4.060976,63.556516
2/7/2024 17:33:27.372,1.136878,4.061608,63.556516
2/7/2024 17:33:27.373,1.135284,4.060976,63.556516
2/7/2024 17:33:27.374,1.13624,4.060976,63.556516
2/7/2024 17:33:27.375,1.136559,4.061608,63.556516
2/7/2024 17:33:27.376,1.137197,4.061292,63.556516
2/7/2024 17:33:27.377,1.136559,4.061608,63.556516
2/7/2024 17:33:27.378,1.135603,4.061292,63.556516
2/7/2024 17:33:27.379,1.135922,4.06224,63.556516
2/7/2024 17:33:27.380,1.135922,4.061608,63.556516
2/7/2024 17:33:27.381,1.136878,4.061924,63.556516
2/7/2024 17:33:27.382,1.13624,4.061608,63.556516
2/7/2024 17:33:27.383,1.135922,4.060659,63.556516
2/7/2024 17:33:27.384,1.135922,4.061292,63.556516
2/7/2024 17:33:27.385,1.13624,4.061292,63.556516
2/7/2024 17:33:27.386,1.135922,4.061292,63.556516
2/7/2024 17:33:27.387,1.13624,4.061924,63.556516
2/7/2024 17:33:27.388,1.13624,4.06224,63.556516
2/7/2024 17:33:27.389,1.135603,4.061292,63.556516
2/7/2024 17:33:27.390,1.136559,4.061292,63.556516
2/7/2024 17:33:27.391,1.135922,4.061292,63.556516
2/7/2024 17:33:27.392,1.135922,4.061608,63.556516
2/7/2024 17:33:27.393,1.135922,4.060659,63.556516
2/7/2024 17:33:27.394,1.136878,4.061292,63.556516
2/7/2024 17:33:27.395,1.135922,4.061292,63.556516
2/7/2024 17:33:27.396,1.135922,4.060976,63.556516
2/7/2024 17:33:27.397,1.135603,4.061924,63.556516
2/7/2024 17:33:27.398,1.136878,4.06224,63.556516
2/7/2024 17:33:27.399,1.135603,4.06224,63.556516
2/7/2024 17:33:27.400,1.135284,4.061292,63.556516
2/7/2024 17:33:27.401,1.134965,4.061292,63.556516
2/7/2024 17:33:27.402,1.136559,4.061292,63.556516
2/7/2024 17:33:27.403,1.135284,4.061292,63.556516
2/7/2024 17:33:27.404,1.135922,4.060976,63.556516
2/7/2024 17:33:27.405,1.135922,4.061292,63.556516
2/7/2024 17:33:27.406,1.136878,4.061292,63.556516
2/7/2024 17:33:27.407,1.135922,4.060659,63.556516
2/7/2024 17:33:27.408,1.137197,4.061292,63.556516
2/7/2024 17:33:27.409,1.137834,4.061608,63.556516
2/7/2024 17:33:27.410,1.136559,4.06224,63.556516
2/7/2024 17:33:27.411,1.137197,4.061608,63.556516
2/7/2024 17:33:27.412,1.136559,4.061292,63.556516
2/7/2024 17:33:27.413,1.135922,4.061292,63.556516
2/7/2024 17:33:27.414,1.135603,4.061608,63.556516
2/7/2024 17:33:27.415,1.137515,4.061292,63.556516
2/7/2024 17:33:27.416,1.136878,4.061608,63.556516
2/7/2024 17:33:27.417,1.135603,4.060976,63.556516
2/7/2024 17:33:27.418,1.136559,4.061924,63.556516
2/7/2024 17:33:27.419,1.135603,4.061292,63.556516
2/7/2024 17:33:27.420,1.136559,4.06224,63.556516
2/7/2024 17:33:27.421,1.135922,4.061608,63.556516
2/7/2024 17:33:27.422,1.135922,4.060976,63.556516
2/7/2024 17:33:27.423,1.136559,4.060659,63.556516
2/7/2024 17:33:27.424,1.136559,4.060976,63.556516
2/7/2024 17:33:27.425,1.135284,4.061608,63.556516
2/7/2024 17:33:27.426,1.136878,4.061608,63.556516
2/7/2024 17:33:27.427,1.135922,4.061608,63.556516
2/7/2024 17:33:27.428,1.137515,4.062557,63.556516
2/7/2024 17:33:27.429,1.135922,4.061608,63.556516
2/7/2024 17:33:27.430,1.135922,4.061292,63.556516
2/7/2024 17:33:27.431,1.135922,4.061292,63.556516
2/7/2024 17:33:27.432,1.135922,4.061924,63.556516
2/7/2024 17:33:27.433,1.136559,4.061292,63.556516
